# id,institution,course_code,transfer_course_code,restriction,db_reference_no

476,Hong Kong Institute of Vocational Education,ITP4906,COMP S&N: Computer Science Track Course,GD:67,B02285
477,Hong Kong Institute of Vocational Education,ITE3101,COMP 1022P: Introduction to Computing with Java,GD:67,B02272
478,Hong Kong Institute of Vocational Education,ITP4907,COMP S&N: Computer Science Track Course,GD:67,B02286
479,Hong Kong Institute of Vocational Education,EIE4205 + EIE4210,COMP S&N: Computer Science Track Course,GD:B+,B00315g
480,Hong Kong Institute of Vocational Education,E&I3664+ E&I4664,COMP S&N: Computer Science Track Course,GD:67,B00315f
481,Hong Kong Institute of Vocational Education,BUS3004,MGMT 1110: Introduction to Management,GD:B+,B13175
482,Hong Kong Institute of Vocational Education,BAN4109,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B13179
483,Hong Kong Institute of Vocational Education,BUS4005,MARK 2120: Marketing Management,GD:B+,B13173
484,Hong Kong Institute of Vocational Education,SAS4108,CHEM 4110: Structural Elucidation in Organic Chemistry,GD:A,B06963
485,Hong Kong Institute of Vocational Education,MEC4401 + MEC4402,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B02702
486,Hong Kong Institute of Vocational Education,MEC4121,MECH 2410: Engineering Materials I,GD:B+,B06627a
487,Hong Kong Institute of Vocational Education,MEC4121+MEC4110,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B06627
488,Hong Kong Institute of Vocational Education,CON3406,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B14101
489,Hong Kong Institute of Vocational Education,MEC3125 + ENG4200,MATH 1020: Accelerated Calculus,No Restriction,B11194a
490,Hong Kong Institute of Vocational Education,MEC3125 + MEC4103,MATH 1020: Accelerated Calculus,No Restriction,B11194b
491,Hong Kong Institute of Vocational Education,MEC4111,MECH 2520: Design and Manufacturing I,GD:B+,B03194a
492,Hong Kong Institute of Vocational Education,ENG3455,PHYS 1111: General Physics I,GD:63,B00304b
493,Hong Kong Institute of Vocational Education,SAS4205,LIFS 3260: Microbiology Laboratory,No Restriction,B00642a
494,Hong Kong Institute of Vocational Education,ASD3007,LIFS 2040: Cell Biology,No Restriction,B02916
495,Hong Kong Institute of Vocational Education,ASD3007+ SAS4205+ SAS4209,LIFS 3060: Microbiology,No Restriction,B06986
496,Hong Kong Institute of Vocational Education,ITP4305,COMP S&N: Computer Science Track Course,GD:67,B02278
497,Hong Kong Institute of Vocational Education,ITP4315,COMP S&N: Computer Science Track Course,GD:B+,B02278a
498,Hong Kong Institute of Vocational Education,SAS4203+ASD4017,LIFS 3110: Biotechnological Application of Recombinant DNA Techniques LIFS 3210: Principles of Recombinant DNA Technology,No Restriction,B06987
499,Hong Kong Institute of Vocational Education,SAS4435,ENVS 4301: Environmental Conservation,Expired,B11147a
500,Hong Kong Institute of Vocational Education,ITE3102,COMP 4621: Computer Communication Networks I,GD:67,B02273
501,Hong Kong Institute of Vocational Education,ITP4304 / ITP4314,COMP 4631: Computer and Communication Security,GD:67,B02277
502,Hong Kong Institute of Vocational Education,EIE3401S+EIE4402S,ELEC 2400: Electronic Circuits,GD:A-,B02814
503,Hong Kong Institute of Vocational Education,E&I3604,COMP 1022P: Introduction to Computing with Java,GD:67,B06405
504,Hong Kong Institute of Vocational Education,EIE4202,COMP 1022P: Introduction to Computing with Java,GD:67,B02558
505,Hong Kong Institute of Vocational Education,ITP4905,COMP 1022P: Introduction to Computing with Java,GD:67,B02284
506,Hong Kong Institute of Vocational Education,ASC3441,CHEM 2110: Organic Chemistry I CHEM 2150: Organic Chemistry Laboratory,GD:75,B00558a
507,Hong Kong Institute of Vocational Education,CEH3361,CHEM 2110: Organic Chemistry I CHEM 2150: Organic Chemistry Laboratory,GD:75,B00552c
508,Hong Kong Institute of Vocational Education,SAS3013,CHEM 2110: Organic Chemistry I CHEM 2150: Organic Chemistry Laboratory,GD:70,B00552b
509,Hong Kong Institute of Vocational Education,SAS4310,CHEM 4130: Medicinal Chemistry,GD:A,B06973
510,Hong Kong Institute of Vocational Education,CEH3362,CHEM 2410: Physical Chemistry I: Equilibrium Thermodynamics and Statistical Mechanics CHEM 2450: Physical Chemistry Laboratory,GD:75,B00555b
829,The Hong Kong Polytechnic University,CC2C13P,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11808a
511,Hong Kong Institute of Vocational Education,SAS3014,CHEM 2410: Physical Chemistry I: Equilibrium Thermodynamics and Statistical Mechanics CHEM 2450: Physical Chemistry Laboratory,GD:75,B00555a
512,Hong Kong Institute of Vocational Education,ELE3011,COMP 1021: Introduction to Computer Science,GD:B+,B02395a
513,Hong Kong Institute of Vocational Education,ITP3301,COMP S&N: Computer Science Track Course,GD:67,B02274
514,Hong Kong Institute of Vocational Education,ASD3005,MATH 2411: Applied Statistics,No Restriction,B11142
515,Hong Kong Institute of Vocational Education,ASD3005 + ITE4901,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B06974
516,Hong Kong Institute of Vocational Education,CBE2027+ CBE3027,CIVL 2120: Mechanics of Materials,GD:70,B00411
517,Hong Kong Institute of Vocational Education,CON4331 + CON4333,CIVL 2110: Statics,GD:B,B00411e
518,Hong Kong Institute of Vocational Education,GBS4116,ISOM 3760: Logistics Management,GD:B+,B13183
519,Hong Kong Institute of Vocational Education,ITP4307/ITP4317,COMP S&N: Computer Science Track Course,GD:67,B02280
520,Hong Kong Institute of Vocational Education,ITP4309,COMP S&N: Computer Science Track Course,GD:67,B02282
521,Hong Kong Institute of Vocational Education,ITP4303,COMP S&N: Computer Science Track Course,GD:67,B02276
522,Hong Kong Institute of Vocational Education,ITP4313,COMP S&N: Computer Science Track Course,GD:B+,B02276a
523,Hong Kong Institute of Vocational Education,MEC4101,MECH 2210: Fluid Mechanics (Previous code MECH3210 ),GD:B+,B02656a
524,Hong Kong Institute of Vocational Education,LAN3003 + LAN4002,LANG CCOM: Chinese Language Proficiency Achieved,AD,B13095
525,Hong Kong Institute of Vocational Education,ITP4912,COMP S&D: Computer Science Track Course,GD:67,B02287
526,Hong Kong Institute of Vocational Education,ITP4312,COMP S&N: Computer Science Track Course,GD:B+,B02275a
527,Hong Kong Institute of Vocational Education,ITP4302,COMP S&N: Computer Science Track Course,GD:67,B02275
528,Hong Kong Shue Yan University,ECON103,ECON 2103: Principles of Microeconomics,GD:B+,B03188a
529,Hong Kong Shue Yan University,SOC150,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B06934c
530,Hong Kong Shue Yan University,CHI101 + CHI102 + CHI131 + CHI132,LANG CCOM: Chinese Language Proficiency Achieved,No Restriction,B07498
531,Hong Kong Shue Yan University,BUS100,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B03190a
532,Hong Kong Shue Yan University,LAW110,SACC UCORE: Common Core Course in Social Analysis,No Restriction,B07325a
533,Hong Kong Shue Yan University,ACCT 101 + ACCT 102,ACCT 2010: Principles of Accounting I,No Restriction,B06936
534,Hong Kong Shue Yan University,ECON 101,ECON 2103: Principles of Microeconomics,No Restriction,B06931
535,Hong Kong Shue Yan University,BUS 112,ISOM 2500: Business Statistics,No Restriction,B06930a
536,Lingnan University,PHI399S,HUMA 3000HMCC: 3000-level Course in Humanities / HUMA Common Core,Expired,B02003b
537,Lingnan University,GEC335,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),Expired,B02932b
538,Lingnan University,CLA9012,"ISOM 2000IS: 2000-level Course in Information Systems, Business Statistics and Operations Management",No Restriction,B07830a
539,Lingnan University,LCE1010 + LCE1020 -,LANG ECOM: English Language Proficiency Achieved,No Restriction,B07832
540,Lingnan University,ENG1373/ENG3388,HMCC UCORE: Common Core Course in Humanities,No Restriction,B07831a
541,Lingnan University,HST1194,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B13654c
542,Lingnan University,TRA4306,HUMA 2000HMCC: 2000-level Course in Humanities / HUMA Common Core,No Restriction,B06611b
543,Lingnan University,CCC8001,HUMA 1720: Logic,No Restriction,B07834a
544,Lingnan University,VIS399T (/VIS3399T),HMCC UCORE: Common Core Course in Humanities,No Restriction,B06180a
545,Lingnan University,VIS399V,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B07423c
546,Lingnan University,CLD9006/GED122/CDS122,COMP 4631: Computer and Communication Security,No Restriction,B07835a
547,Lingnan University,PHI375,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),Expired,B03120b
548,Lingnan University,PHI3105,HMCC UCORE: Common Core Course in Humanities,No Restriction,B07687a
549,Lingnan University,LCC1010,LANG 1113: Effective Chinese Communication,No Restriction,B07836
550,Lingnan University,SOC3001,SOSC 2000SACC: 2000-level Course in Social Science / SA Common Core,No Restriction,B13874b
551,Lingnan University,CUS329C,HUMA 1000SACC: 1000-level Course in Humanities / SA Common Core,Expired,B02933b
552,Lingnan University,CCC8002,SOSC 3130: Hong Kong Culture,No Restriction,B07829
553,Lingnan University,CLC9012,MARK 4000LEVEL: 4000-level Course in Marketing,No Restriction,B13562
554,Lingnan University,TRA3211,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B07422c
555,Lingnan University,CLA9015,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),Expired,B02834b
556,Lingnan University,VIS2104,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B07838b
557,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",BM1208,FINA 1303: Introduction to Financial Markets,GD:B+,B06591
558,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LM1105,IELM 2410: Logistics and Freight Transportation Operations,No Restriction,B07039
559,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",CH1130,LANG CCOM: Chinese Language Proficiency Achieved,AD,B02591a
560,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",AC1115,ACCT 2200: Principles of Accounting II,GD:B+,B06588
561,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",CS1225,COMP G&M: Computer Science Track Course,GD:B+,B02467
562,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LS2110,COMP 3311: Database Management Systems,GD:B+,B02469
563,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",CS1230,COMP S&D: Computer Science Track Course,GD:B+,B02468
564,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",AC1105,ACCT 2010: Principles of Accounting I,GD:B+,B06585a
565,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",AC1105,ACCT 2020: Introduction to Accounting for Non-Business Majors,GD:B+,B06585
566,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LM2105,IELM 4410: Global Supply Chain Management,No Restriction,B07041
567,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",CS1210,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B02466
568,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LS2040,COMP S&D: Computer Science Track Course,GD:B+,B02471
569,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LS1100,COMP 1021: Introduction to Computer Science,GD:B+,B02465
570,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",BM1410,COMP S&D: Computer Science Track Course,GD:B+,B02461
571,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",BM1415,COMP S&D: Computer Science Track Course,GD:B+,B02461a
572,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",BM1301,MGMT 1110: Introduction to Management,GD:B+,B02821a
573,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",MK1003,MARK 2120: Marketing Management,GD:B+,B06590
574,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",QA1110,IELM 2510: Engineering Probability and Statistics,No Restriction,B07038
575,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LS2120,COMP S&D: Computer Science Track Course,GD:B+,B02470
576,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LM1035,IELM 3901: Transportation Systems,No Restriction,B07042
577,"School of Continuing and Professional Studies, The Chinese University of Hong Kong",LM1025,IELM 3450: Logistics Planning and Service Management,No Restriction,B07043
578,"School of Continuing Education, Hong Kong Baptist University",HDMT1307,ECON 2103: Principles of Microeconomics,GD:B+,B10177
579,"School of Continuing Education, Hong Kong Baptist University",HDMT1305,MGMT 3110: Human Resources Management,GD:B+,B10176
580,"School of Continuing Education, Hong Kong Baptist University",HDMT1309,MGMT 2110: Organizational Behavior,GD:B+,B10175
581,"School of Continuing Education, Hong Kong Baptist University",HDGS0305C,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B10247
582,"School of Continuing Education, Hong Kong Baptist University",HDMT1306,MGMT 1110: Introduction to Management,GD:B+,B10174
583,"School of Continuing Education, Hong Kong Baptist University",HDMT1302,MARK 2120: Marketing Management,GD:B+,B10335
584,"School of Continuing Education, Hong Kong Baptist University",HDMT1303,ISOM 2700: Operations Management,GD:B+,B10305
585,"School of Continuing Education, Hong Kong Baptist University",HDMT1308,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B10248
586,"School of Professional and Continuing Education, The University of Hong Kong",CC88-769 /CCIT4060,COMP S&N: Computer Science Track Course,GD:B+,B02255
587,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4027,COMP A&T: Computer Science Track Course,GD:B+,B13441a
588,"School of Professional and Continuing Education, The University of Hong Kong",CC88-773 /CCIT4063,ELEC 2200: Digital Circuits and Systems,GD:A-,B05328
589,"School of Professional and Continuing Education, The University of Hong Kong",CCST4030,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:B+,B14011a
590,"School of Professional and Continuing Education, The University of Hong Kong",(HP83-277 / HPHS4001) + (HP83-280 / HPHS4004) + (HP83-279 / HPHS4003) + (HP83-377 / HPHS4008),LIFS 1902: General Biology II,No Restriction,B03056a
591,"School of Professional and Continuing Education, The University of Hong Kong",CC88-257 / CCPH4002,MGMT 2010: Business Ethics and the Individual,GD:B+,B00396b
592,"School of Professional and Continuing Education, The University of Hong Kong",CC66-290 / CCIM4029,COMP S&D: Computer Science Track Course,GD:B+,B02256
593,"School of Professional and Continuing Education, The University of Hong Kong",CC88-125 / CC88-649 / CCAH3004 / CCAH4001,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B00395b
594,"School of Professional and Continuing Education, The University of Hong Kong",HP83-897,CHEM 1010: General Chemistry IA,No Restriction,B02720a
595,"School of Professional and Continuing Education, The University of Hong Kong",CC88-283 / CCMA4005,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02324
596,"School of Professional and Continuing Education, The University of Hong Kong",CC88-233 / CCST 4011,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B02830a
597,"School of Professional and Continuing Education, The University of Hong Kong",CC88-744 / CCST4091,LIFS 3210: Principles of Recombinant DNA Technology,No Restriction,B02868
598,"School of Professional and Continuing Education, The University of Hong Kong",CC88-664 + CC88-422 + CC88-663 / CCST4082 + CCST4025 + CCST4081,LIFS 3060: Microbiology,No Restriction,B03118
599,"School of Professional and Continuing Education, The University of Hong Kong",CCST4085,LIFS 3150: Biostatistics,No Restriction,B11136
600,"School of Professional and Continuing Education, The University of Hong Kong",CCST 4081 + CCST4025 + CCST4017,LIFS 3010: Molecular and Cellular Biology I,No Restriction,B07942
601,"School of Professional and Continuing Education, The University of Hong Kong",CC88-663 /CCST4081,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B02831
602,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-388 / CCMK4002,"ECON 1503: Big Problems in Economics: Issues, Ideas, and Principles",GD:B+,B10676
603,"School of Professional and Continuing Education, The University of Hong Kong",CCBS 4001,SOSC 2000LEVEL: 2000-level Course in Social Science,GD:B,B10332
604,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-460 / CCAC4019,ISOM 2010: Introduction to Information Systems,GD:B+,B11321
605,"School of Professional and Continuing Education, The University of Hong Kong",CC88-266 / CCST4018,LIFS 1902: General Biology II,No Restriction,B02829b
606,"School of Professional and Continuing Education, The University of Hong Kong",CC88-667 / CCST4084,LIFS 2000LEVEL: 2000-level Course in Life Science,No Restriction,B03200b
607,"School of Professional and Continuing Education, The University of Hong Kong",CCST4084+CCST4017+ CCST4048,LIFS 3010: Molecular and Cellular Biology I,No Restriction,B07941b
608,"School of Professional and Continuing Education, The University of Hong Kong",CCST4084+CCST4017+ CCST4048,LIFS 2040: Cell Biology,No Restriction,B07941a
609,"School of Professional and Continuing Education, The University of Hong Kong",CC88-667/CCST4084 + CC88-265/CCST4017 + CC88-663/CCST4081,LIFS 2040: Cell Biology,No Restriction,B07988
610,"School of Professional and Continuing Education, The University of Hong Kong",HP83-278 / HPHS4002+ HP83-283 /HPHS4007 + CC88-157 / CCST3002,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,No Restriction,B07198
611,"School of Professional and Continuing Education, The University of Hong Kong",CCMA4003,MATH 1020: Accelerated Calculus,GD:B+,B00334a
612,"School of Professional and Continuing Education, The University of Hong Kong",CC66-293 / CCIM4030,COMP G&M: Computer Science Track Course,GD:B+,B00181a
613,"School of Professional and Continuing Education, The University of Hong Kong",CC88-319 / CCIT4018,COMP S&N: Computer Science Track Course,GD:B+,B13443a
614,"School of Professional and Continuing Education, The University of Hong Kong",CC66-317 / CCIM4031,COMP 2611: Computer Organization,GD:B+,B02257
615,"School of Professional and Continuing Education, The University of Hong Kong",CD85-233-23 / CCIM4031,COMP 2611: Computer Organization,GD:B+,B00186b
616,"School of Professional and Continuing Education, The University of Hong Kong",CD85-215-22 / CCIT4067,COMP 1022P: Introduction to Computing with Java,GD:B+,B00131a
617,"School of Professional and Continuing Education, The University of Hong Kong",CD85-233-14,COMP 1022P: Introduction to Computing with Java,GD:B+,B00184a
618,"School of Professional and Continuing Education, The University of Hong Kong",CC88-646 / CCIT4053,COMP S&N: Computer Science Track Course,GD:B+,B02258
619,"School of Professional and Continuing Education, The University of Hong Kong",CC66-294 /CCIM4033,COMP S&N: Computer Science Track Course,GD:B+,B00182b
620,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-213/CCAC4006 + CC66-214,ACCT 2200: Principles of Accounting II,GD:B+,B11311
621,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-576 / HPAC4004,ACCT 2200: Principles of Accounting II,GD:B+,B05854
622,"School of Professional and Continuing Education, The University of Hong Kong",CC66-312 / CCIM4034,COMP 4621: Computer Communication Networks I,GD:B+,B02259
623,"School of Professional and Continuing Education, The University of Hong Kong",CC66-292 /CCIM4035,IELM 3150: Manufacturing Processes,No Restriction,B02773
624,"School of Professional and Continuing Education, The University of Hong Kong",CCAH4003,ARTC UCORE: Common Core Course in Arts,No Restriction,B00455a
625,"School of Professional and Continuing Education, The University of Hong Kong",CC66-318 / CCIM4036,ELEC 2200: Digital Circuits and Systems,GD:A-,B02775
626,"School of Professional and Continuing Education, The University of Hong Kong",CC66-318 / CCIM4036,COMP S&N: Computer Science Track Course,GD:B+,B02260
627,"School of Professional and Continuing Education, The University of Hong Kong",CD85-233-26,COMP S&N: Computer Science Track Course,GD:B+,B00187c
628,"School of Professional and Continuing Education, The University of Hong Kong",CC88-637 / CCIT4049,COMP G&M: Computer Science Track Course,GD:B+,B00128b
629,"School of Professional and Continuing Education, The University of Hong Kong",CD85-215-15 / CCIT4068,COMP G&M: Computer Science Track Course,GD:B+,B00130a
630,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-580 / HPMS4003,SOSC 1440: Introduction to Economics,GD:B+,B05853a
631,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4037,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B00185c
632,"School of Professional and Continuing Education, The University of Hong Kong",CD85-233-21,COMP S&N: Computer Science Track Course,GD:B+,B00185b
633,"School of Professional and Continuing Education, The University of Hong Kong",CD85-233-21+ CD85-233-26,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B00828c
634,"School of Professional and Continuing Education, The University of Hong Kong",CC88-456 /CCIT4029,ELEC 3600: Electromagnetics: From Wireless to Photonic Applications,GD:A-,B05330
635,"School of Professional and Continuing Education, The University of Hong Kong",CCST4064 + CCMA4001,MATH 2411: Applied Statistics,No Restriction,B11421
636,"School of Professional and Continuing Education, The University of Hong Kong",CC88-285 / CCPH4003,HUMA 1720: Logic,GD:B,B00340a
637,"School of Professional and Continuing Education, The University of Hong Kong",HPHR4004,MGMT 1000LEVEL: 1000-level Course in Management,GD:B+,B14150
638,"School of Professional and Continuing Education, The University of Hong Kong",CC88-167 / CCST4009,CENG 1700: Introduction to Environmental Engineering,No Restriction,B02410a
639,"School of Professional and Continuing Education, The University of Hong Kong",CC88-167 / CCST4009,LIFS 1030: Environmental Science,No Restriction,B02410
640,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4069 /CC66-478 + CCIM4072 / CC66-481,IELM 2150: Product Design (Aka: Product Design and Communication ),No Restriction,B07006
641,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4040 /CC66-321,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B14221
642,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4111 + CCIM41112,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B00244c
643,"School of Professional and Continuing Education, The University of Hong Kong",CC88-624 / CCIT4037,COMP S&N: Computer Science Track Course,GD:B+,B02261
644,"School of Professional and Continuing Education, The University of Hong Kong",CCST4060,LIFS 2060: Biodiversity,No Restriction,B11137
645,"School of Professional and Continuing Education, The University of Hong Kong",CC 66-215/ CCAC4008 + CC66-216,ACCT 2010: Principles of Accounting I,GD:B+,B11313
646,"School of Professional and Continuing Education, The University of Hong Kong",CC88-823 / CCBS5004 / CCBS4018,FINA 1303: Introduction to Financial Markets,GD:B+,B05895
647,"School of Professional and Continuing Education, The University of Hong Kong",CCBS4018,FINA 1303: Introduction to Financial Markets,GD:B+,B05895a
648,"School of Professional and Continuing Education, The University of Hong Kong",HPCS4004,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B11216a
649,"School of Professional and Continuing Education, The University of Hong Kong",CC88-157,CHEM 1004: Chemistry in Everyday Life,GD:B,B02869b
650,"School of Professional and Continuing Education, The University of Hong Kong",CC88-157 /CCST3002,CHEM 1004: Chemistry in Everyday Life,GD:B,B02458a
651,"School of Professional and Continuing Education, The University of Hong Kong",CC88-157 + CC88-786 / CCST3002 + CCST4101,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,GD:B,B02869
652,"School of Professional and Continuing Education, The University of Hong Kong",CCST4023,LIFS 1901: General Biology I,No Restriction,B11138b
653,"School of Professional and Continuing Education, The University of Hong Kong",CCAH4004,HUMA 3000LEVEL: 3000-level Course in Humanities,GD:B,B14473a
654,"School of Professional and Continuing Education, The University of Hong Kong",CCIM4073/CC66-482 + CCIM4076/CC66-534 + CCIM4077/CC66-535 + CCIM4075/CC66-533,IELM 4170: Product Design and Lifecycle Management,No Restriction,B07008
655,"School of Professional and Continuing Education, The University of Hong Kong",CCST4097 + CCST4098,PHYS 1111: General Physics I,GD:C,B10892b
656,"School of Professional and Continuing Education, The University of Hong Kong",HP83-590,LIFS 1901: General Biology I,No Restriction,B02721a
657,"School of Professional and Continuing Education, The University of Hong Kong",HPMS4005,FINA 2303: Financial Management,GD:B+,B05861a
658,"School of Professional and Continuing Education, The University of Hong Kong",CCST4047,LIFS 1902: General Biology II,No Restriction,B10883a
659,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4022,COMP S&D: Computer Science Track Course,GD:B+,B07604
660,"School of Professional and Continuing Education, The University of Hong Kong",CCST4015+CCST4097+CCST4098,PHYS 1111: General Physics I,No Restriction,B14281a
661,"School of Professional and Continuing Education, The University of Hong Kong",CC88-580 /CCST4069,PHYS 1112: General Physics I with Calculus,GD:B,B00565a
662,"School of Professional and Continuing Education, The University of Hong Kong",CC88-581 /CCST4070,PHYS 1114: General Physics II,GD:B,B00567a
663,"School of Professional and Continuing Education, The University of Hong Kong",CCTP4011,IELM 4410: Global Supply Chain Management,ONCE,B07012a
664,"School of Professional and Continuing Education, The University of Hong Kong",CCTP4011 + CCTP4006 / CC66-369 + CC66-377,IELM 3450: Logistics Planning and Service Management,ONCE,B07012
665,"School of Professional and Continuing Education, The University of Hong Kong",CCST4036 + CCST4040,PHYS 1114: General Physics II,No Restriction,B10893
666,"School of Professional and Continuing Education, The University of Hong Kong",CCCU4005,SOSC 2000LEVEL: 2000-level Course in Social Science,GD:B+,B07605
667,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-581 / HPMS4004,ECON 1000LEVEL: 1000-level Course in Economics,GD:B+,B05855
668,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-577 / HPMS4001,ACCT 3610: Functions of Law in Society and Business,GD:A-,B05850a
669,"School of Professional and Continuing Education, The University of Hong Kong",CC88-665 + CC88-421 /CCST4083 + CCST4024,LIFS 3040: Animal Physiology,No Restriction,B02875
670,"School of Professional and Continuing Education, The University of Hong Kong",CCST4083 + (CCST4048 / CC88-461) + CCST4026,LIFS 1902: General Biology II LIFS 3040: Animal Physiology,No Restriction,B06528a
671,"School of Professional and Continuing Education, The University of Hong Kong",CC88-665 + CC88-421 + CC88-423 / CCST4083 + CCST4024 + CCST4026,LIFS 1902: General Biology II LIFS 3040: Animal Physiology,No Restriction,B02874a
672,"School of Professional and Continuing Education, The University of Hong Kong",CC88-822 / CCBS5003,MGMT 3110: Human Resources Management,GD:B+,B05897
673,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-690 / HPMS4010,MGMT 3110: Human Resources Management,GD:B+,B05864
674,"School of Professional and Continuing Education, The University of Hong Kong",HPTH4026,MGMT 3110: Human Resources Management,GD:B+,B11055
675,"School of Professional and Continuing Education, The University of Hong Kong",CC66-816 / CCMK5005,MGMT 3110: Human Resources Management,GD:B+,B11018
676,"School of Professional and Continuing Education, The University of Hong Kong",CCPH4004,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B10884a
677,"School of Professional and Continuing Education, The University of Hong Kong",CC88-759 / CCIT4057,ISOM 2010: Introduction to Information Systems,GD:B+,B05332a
678,"School of Professional and Continuing Education, The University of Hong Kong",CC88-759 / CCIT4057,COMP S&D: Computer Science Track Course,GD:B+,B05332
679,"School of Professional and Continuing Education, The University of Hong Kong",CC88-299 / CCIT4014,COMP 4631: Computer and Communication Security,GD:B+,B00125a
680,"School of Professional and Continuing Education, The University of Hong Kong",CCIT4073,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B11217
681,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-217 / HPAC4001,ISOM 2010: Introduction to Information Systems,GD:B+,B11320
682,"School of Professional and Continuing Education, The University of Hong Kong",CC88-281 / CCCU4006,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B05638
683,"School of Professional and Continuing Education, The University of Hong Kong",HPAC4007,ACCT 3010: Financial Accounting I,GD:A-,B10446
684,"School of Professional and Continuing Education, The University of Hong Kong",HPAC4008,ACCT 3020: Financial Accounting II,GD:A-,B10447
685,"School of Professional and Continuing Education, The University of Hong Kong",HP 83-688 / HPMS4008,ECON 4374: International Macroeconomics and Finance,GD:B+,B05863
686,"School of Professional and Continuing Education, The University of Hong Kong",CC88-760 / CCIT4058,COMP 4021: Internet Computing,GD:B+,B05333
687,"School of Professional and Continuing Education, The University of Hong Kong",CC88-298 /CCIT4013,COMP S&N: Computer Science Track Course,GD:B+,B02262
