# id,institution,course_code,transfer_course_code,restriction,db_reference_no

188,Community College of City University,AST21212 / DCO21212,CHEM 4310: Environmental Chemistry,GD:B+,B02646a
189,Community College of City University,AST11103,COMP 1022P: Introduction to Computing with Java,GD:B+,B02599
190,Community College of City University,DCO10103,COMP 1022P: Introduction to Computing with Java,GD:B+,B00106a
191,Community College of City University,GE2203,SOSC 1980: Psychology and Everyday Life,Expired,B00470
192,Community College of City University,DCO20115 / AST20115,COMP S&D: Computer Science Track Course,GD:B+,B00111a
193,Community College of City University,BUS10188,"ISOM 1000OM: 1000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B05455a
194,Community College of City University,BUS20326,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B06279
195,Community College of City University,AST20302 / DCO20302,COMP S&N: Computer Science Track Course,GD:B+,B00117a
196,Community College of City University,DSS20401,SOSC 1100: Elementary Statistics for Social Research,GD:B+,B06997
197,Community College of City University,AST22112,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B11222a
198,Community College of City University,DCO20306 / AST20306,COMP 2021: Unix and Script Programming,GD:B+,B00119a
199,Community College of City University,BUS20324,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B06278
200,Community College of City University,CGE22402,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B06276
201,Community College of City University,CGE22402,SOSC 1662: Contemporary Hong Kong: Society,GD:B+,B06276a
202,Community College of City University,CGE25401,SOSC 1850: Understanding Society,GD:B,B02452
203,Community College of City University,CGE13101,SOSC 1100: Elementary Statistics for Social Research,GD:B,B05469c
204,Community College of City University,CGE13101,"ISOM 1000OM: 1000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B05469a
205,Community College of City University,DCO10303 / AST10303,COMP S&N: Computer Science Track Course,GD:B+,B02249
206,Community College of City University,AST21205,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B11221a
207,Community College of City University,AST21104,COMP G&M: Computer Science Track Course,GD:B+,B06685
208,Community College of City University,AST21104 / DCO21104,COMP G&M: Computer Science Track Course,GD:B+,B02345
209,Community College of City University,DCO20201 / AST20201,COMP 4021: Internet Computing,GD:B+,B00114a
210,Community College of City University,DCO20202,COMP 4431: Multimedia Computing,GD:B+,B00115a
211,Hang Seng Management College,ECO1001,ECON 2103: Principles of Microeconomics,GD:B+,B03102a
212,Hang Seng Management College,ECO1002,ECON 2123: Macroeconomics,GD:B+,B03096b
213,Hang Seng Management College,CHN1002,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B03095c
214,Hang Seng Management College,GEN1001,HUMA 1000HMCC: 1000-level Course in Humanities / HUMA Common Core (not = HUMA 1000),No Restriction,B03098c
215,Hang Seng Management College,GEN1011,SOSC 1300: The World of Politics,No Restriction,B07682
216,Hang Seng Management College,BUS1001,MGMT 1110: Introduction to Management,GD:B+,B03100a
217,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1041,ACCT 2020: Introduction to Accounting for Non-Business Majors,GD:B+,B07429
218,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2236,MATH 2111: Matrix Algebra and Applications,No Restriction,B02326
219,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3728 CCN2261,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:B+,B00486a
220,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3401,COMP S&D: Computer Science Track Course,GD:B+,B00092a
221,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2005 / CCN2041,COMP 1022P: Introduction to Computing with Java,GD:B+,B00068a
222,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2404,COMP S&N: Computer Science Track Course,GD:B+,B00079a
223,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3403 / CCN2237,MATH 3424: Regression Analysis,No Restriction,B00269
224,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3125 + CCN3144,IELM 3150: Manufacturing Processes,No Restriction,B11368
225,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2305 / CCN2246,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B00030
226,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2F01P,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B02947
227,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2105,ECON 2103: Principles of Microeconomics,GD:B+,B03488
